Дата ;о_Санкт-Петербург;o_Адмиралтейский;o_Васимлеостровский;o_Всеволожский;o_Выборгский;o_Калининский;o_Кировский;o_Колпинский;o_Красногвардейский;o_Красносельский;o_Кронштадтский;o_Курортный;o_Московский;o_Невский;o_Ленобласть;o_Петроградский;o_Петродворцовый;o_Приморский;o_Пушкинский;o_Фрунзенский;o_Центральный;р_Санкт-Петербург;p_Адмиралтейский;p_Василеостровский;p_Всеволожский;p_Выборгский;p_Калининский;p_Кировский ;p_Колпинский;p_Красногвардейский;p_Красносельский;p_Кронштадтский;p_Курортный;p_Московский;p_Невский;p_ЛЕНОБЛАСТЬ;p_Петроградский;p_Петродворцовый ;p_Приморский;p_Пушкинский;p_Фрунзенский ;p_Центральный
maj'16;103.659;110.812;118.65;77.995;100.935;95.959;95.588;73.567;91.262;89.56;75.211;91.404;114.893;93.034;52.766;139.304;81.069;106.333;85.809;94.44;123.535;98.919;121.739;115.397;67.178;79.859;89.785;101.3;65.525;101.322;86.977;69.887;103.653;111.358;81.461;57.117;175.346;66.232;104.025;73.036;98.958;180.793
ijun'16;103.154;108.118;117.764;78.763;101.148;95.63;95.22;73.381;91.947;89.539;74.936;89.718;113.512;92.936;52.561;137.089;80.975;105.892;85.382;94.263;123.817;99.65;122.493;115.097;66.698;84.08;90.98;101.366;63.849;99.776;87.398;69.369;105.667;110.343;80.73;56.966;172.541;66.853;104.339;73.145;98.943;176.94
ijul'16;104.136;110.681;117.703;77.736;101.659;95.763;96.382;73.17;92.783;89.752;76.648;93.936;113.998;92.634;52.97;140.845;82.028;106.036;85.668;94.74;122.186;100.952;126.693;114.365;67.316;83.856;91.074;102.737;64.069;100.207;87.702;68.851;106.663;111.784;82.498;57.421;175.764;64.042;107.154;72.389;99.648;172.572
avg'16;104.554;112.973;119.051;78.476;102.306;96.99;96.489;72.189;91.696;88.874;76.295;96.201;114.046;92.328;52.472;149.582;83.106;106.426;84.05;96.26;124.711;101.702;134.229;115.085;68.174;84.839;91.678;102.693;63.239;104.874;88.168;69.84;110.301;110.905;82.071;57.598;189.799;61.481;107.753;73.282;99.603;169.989
sen'16;104.813;110.58;119.058;78.42;102.781;98.31;96.324;73.672;91.707;90.149;76.07;94.221;114.441;92.359;52.743;152.045;83.121;106.73;84.208;95.756;126.057;102.388;138.618;117.757;68.166;86.642;93.043;103.575;62.843;105.274;89.66;69.075;112.212;109.063;83.005;57.58;177.399;60.181;107.705;74.57;98.965;180.185
okt'16;104.931;109.764;118.132;78.632;102.142;97.479;95.458;72.697;92.825;91.287;75.198;93.334;115.283;92.696;52.358;151.183;81.747;106.143;86.313;95.477;126.523;102.669;141.054;120.364;67.816;87.392;94.254;103.997;61.243;105.636;89.075;68.831;111.212;111.543;83.512;56.598;173.205;60.681;108.518;74.803;99.712;178.189
noja'16;105.001;109.336;118.294;78.646;101.971;96.507;94.609;73.297;91.464;90.482;76.568;95.553;116.943;92.707;53.758;151.934;82.247;106.169;87.013;95.116;128.601;103.202;135.92;122.587;67.621;87.295;95.652;103.513;61.495;102.258;88.563;68.868;111.912;112.825;83.846;56.773;182.551;60.494;110.695;74.87;102.676;179.255
dek'16;105.99;111.365;119.158;78.387;103.015;95.59;94.698;73.966;92.457;89.987;76.363;94.897;119.001;92.685;53.466;152.955;80.85;107.279;86.171;95.897;130.352;103.485;132.29;117.013;66.101;88.29;99.665;103.593;61.686;101.596;92.341;70.692;112.099;116.342;84.291;55.908;194.82;61.804;109.841;76.101;108.597;169.052
janv'17;106.036;110.366;118.628;78.572;102.108;95.342;94.994;73.685;93.316;89.98;78.484;96.314;118.824;92.429;53.613;153.36;80.283;108.287;86.627;96.073;130.553;101.012;121.122;107.413;64.856;85.975;104.951;99.566;61.737;102.219;96.259;70.814;109.465;121.408;83.701;54.331;210.535;62.435;104.819;79.193;109.302;155.645
fev'17;105.626;108.546;119.731;78.17;101.369;96.135;95.061;74.237;93.065;89.262;78.505;96.338;120.682;92.392;53.659;151.036;80.69;107.862;87.136;96.906;128.77;100.836;115.807;107.526;65.158;83.779;106.387;99.949;62.78;101.061;96.337;68.184;110.854;121.495;84.253;54.034;216.079;62.494;106.576;83.8;109.27;153.712
mar'17;104.095;106.504;117.336;77.298;100.262;95.143;94.756;74.203;92.742;86.982;78.285;96.767;116.064;93.3;54.283;144.091;81.629;106.152;85.197;96.19;126.959;101.3;112.866;107.904;65.284;83.235;106.308;101.483;63.019;99.505;95.526;68.264;112.193;121.835;83.723;54.818;206.046;62.933;105.32;83.234;109.721;148.568
apr'17;105.133;112.796;122.293;78.781;101.863;96.914;94.798;73.345;94.297;88.929;80.448;97.13;117.671;92.001;53.769;148.877;82.1;107.224;86.561;95.904;130.059;100.618;108.864;103.882;65.907;86.367;100.425;100.823;64.009;93.34;95.551;68.264;115.272;120.204;81.584;54.945;187.606;63.69;105.465;83.804;110.546;139.755
